Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Brooklyn Nets,27,243.7,43.3,87.4,.496,14.4,36.5,.396,28.9,50.9,.567,19.3,23.5,.823,8.4,36.0,44.4,26.7,6.2,5.9,15.3,20.0,120.4
2,Milwaukee Bucks,26,240.0,45.2,91.7,.493,15.3,38.2,.401,29.9,53.5,.559,15.5,21.2,.731,10.6,37.3,47.8,26.6,8.3,4.8,13.6,18.3,121.2
3,Los Angeles Clippers,27,240.0,41.7,86.1,.485,14.6,34.5,.422,27.2,51.6,.527,17.3,20.4,.848,9.4,34.6,44.0,24.1,7.7,4.8,13.2,18.9,115.3
4,Los Angeles Lakers,27,243.7,42.3,87.1,.486,11.0,30.3,.364,31.3,56.8,.551,17.5,23.2,.753,9.8,36.0,45.8,25.0,7.2,6.1,15.2,18.4,113.2
5,Dallas Mavericks,27,240.9,40.7,87.7,.465,13.0,37.1,.350,27.7,50.6,.548,18.2,23.4,.778,8.5,34.1,42.6,23.2,6.5,4.4,12.1,21.0,112.7
6,Charlotte Hornets,27,240.9,40.7,89.0,.457,13.8,36.3,.380,26.9,52.7,.509,16.1,21.0,.768,11.1,33.4,44.4,27.6,8.0,4.9,14.9,18.3,111.3
7,Utah Jazz,26,240.0,40.8,87.5,.466,16.9,42.2,.401,23.9,45.3,.527,16.7,21.7,.771,11.2,37.8,49.0,23.8,5.7,5.8,14.6,18.8,115.1
8,Philadelphia 76ers,26,241.0,41.6,86.9,.479,10.6,29.5,.358,31.0,57.3,.541,20.5,26.5,.774,10.4,35.7,46.1,23.4,8.8,6.3,15.8,20.3,114.3
9,Toronto Raptors,26,240.0,40.2,88.9,.452,15.8,40.8,.389,24.3,48.1,.506,17.7,21.5,.823,9.8,32.3,42.2,25.0,9.1,5.6,13.9,22.3,114.0
10,Golden State Warriors,26,240.0,41.0,89.0,.460,14.4,38.3,.376,26.6,50.7,.525,17.4,22.6,.770,8.2,36.0,44.2,27.2,7.6,5.4,14.5,22.7,113.8
11,Indiana Pacers,26,241.9,42.3,89.2,.474,12.6,34.0,.370,29.7,55.3,.538,15.1,19.7,.764,8.8,33.7,42.5,26.7,8.4,5.8,13.4,20.5,112.3
12,Portland Trail Blazers,25,241.0,40.7,92.1,.442,16.0,41.9,.383,24.6,50.2,.491,17.8,21.5,.831,10.7,34.0,44.6,19.8,7.5,4.8,11.3,19.5,115.2
13,Denver Nuggets,25,245.0,43.2,90.0,.480,13.0,34.5,.378,30.1,55.5,.543,15.9,20.6,.772,10.8,33.5,44.3,26.8,8.4,4.4,13.8,19.6,115.2
14,San Antonio Spurs,26,241.0,41.4,91.7,.452,10.8,29.9,.361,30.6,61.8,.495,17.1,21.6,.791,9.3,36.0,45.2,25.0,6.9,5.1,11.2,17.3,110.7
15,Chicago Bulls,25,241.0,42.3,88.1,.480,13.7,35.9,.382,28.6,52.2,.548,16.4,20.5,.799,8.8,34.8,43.6,26.3,7.3,4.1,16.4,20.4,114.7
16,Orlando Magic,27,240.9,39.1,90.7,.431,11.4,32.2,.353,27.7,58.5,.474,15.9,20.3,.781,11.6,35.2,46.8,22.4,7.0,4.0,13.6,17.3,105.4
17,Sacramento Kings,25,241.0,42.0,88.4,.475,12.5,33.5,.373,29.5,54.9,.538,17.1,23.8,.716,10.3,33.3,43.6,25.9,6.6,5.3,14.1,20.0,113.6
18,New Orleans Pelicans,25,241.0,41.8,87.6,.477,11.7,32.2,.362,30.1,55.3,.544,18.0,24.8,.726,11.3,34.8,46.1,24.6,7.4,4.0,14.5,17.6,113.2
19,Atlanta Hawks,25,242.0,39.4,88.1,.448,12.5,35.0,.358,26.9,53.1,.507,21.4,26.2,.817,11.2,35.4,46.6,24.5,6.7,4.9,14.5,20.1,112.8
20,Detroit Pistons,26,245.8,38.3,88.4,.434,12.6,35.9,.351,25.7,52.5,.490,19.1,24.4,.781,10.6,32.1,42.7,23.9,7.8,4.9,14.8,20.5,108.4
21,Minnesota Timberwolves,26,241.0,40.3,91.8,.439,12.4,35.4,.350,27.9,56.4,.495,14.9,20.1,.743,11.0,32.4,43.4,24.4,8.6,5.6,14.1,21.4,107.9
22,Cleveland Cavaliers,27,243.7,39.4,87.7,.449,9.1,26.6,.342,30.3,61.1,.496,15.9,22.3,.715,11.4,32.2,43.6,23.1,8.6,5.2,15.3,18.9,103.9
23,New York Knicks,27,240.0,38.4,85.8,.448,9.7,27.5,.352,28.8,58.3,.493,16.1,21.3,.758,10.8,36.4,47.3,21.1,6.8,4.9,13.8,20.9,102.7
24,Boston Celtics,25,240.0,41.0,88.2,.464,12.5,32.6,.385,28.4,55.7,.511,16.4,21.6,.758,11.0,32.9,43.8,22.3,8.4,4.8,14.0,20.6,110.8
25,Houston Rockets,25,241.0,39.4,87.8,.449,14.3,40.6,.352,25.2,47.3,.532,16.1,21.6,.746,8.5,35.2,43.8,23.2,7.9,5.7,15.4,20.4,109.2
26,Oklahoma City Thunder,25,243.0,39.8,88.5,.449,12.6,37.6,.337,27.1,51.0,.532,15.2,20.6,.736,7.7,37.1,44.8,23.1,7.3,4.7,14.6,18.1,107.4
27,Miami Heat,25,242.0,38.0,81.9,.463,13.2,37.0,.358,24.7,44.9,.550,17.5,22.3,.786,7.0,35.1,42.1,25.4,6.6,3.8,16.8,19.7,106.7
28,Phoenix Suns,24,244.2,41.0,87.5,.468,13.0,36.1,.360,28.0,51.4,.544,15.5,18.8,.827,9.0,35.6,44.6,25.9,6.2,4.3,13.6,20.8,110.5
